Ahr,V
0.00031,3.30687
0.00332,3.00647
0.01086,2.96442
0.02291,2.92837
0.044,2.89833
0.06961,2.8713
0.09823,2.84727
0.13138,2.83074
0.16452,2.81272
0.19917,2.80221
0.23532,2.79169
0.26997,2.78118
0.30764,2.77817
0.34379,2.77217
0.38145,2.76916
0.41912,2.76766
0.45527,2.76466
0.49294,2.76165
0.5306,2.76165
0.56826,2.76165
0.60442,2.75715
0.64057,2.75715
0.67823,2.75715
0.7159,2.75715
0.75356,2.75715
0.79122,2.75715
0.82888,2.75715
0.86655,2.75564
0.9027,2.75264
0.94037,2.75264
0.97803,2.75264
1.01569,2.75264
1.05185,2.74964
1.08951,2.74813
1.12717,2.74813
1.16483,2.74663
1.2025,2.74513
1.24016,2.74513
1.27631,2.74062
1.31398,2.73912
1.35164,2.73612
1.3893,2.73612
1.42546,2.73462
1.46312,2.73311
1.50078,2.73311
1.53844,2.72861
1.57611,2.72861
1.61226,2.72711
1.64842,2.7241
1.68458,2.7196
1.72224,2.7196
1.7599,2.71659
1.79756,2.71659
1.83372,2.71359
1.87138,2.71209
1.90904,2.71209
1.94671,2.70758
1.98286,2.70458
2.02052,2.70458
2.05668,2.70007
2.09434,2.69557
2.13201,2.69256
2.16816,2.68806
2.20432,2.67904
2.23897,2.67153
2.27362,2.66102
2.30676,2.6445
2.3384,2.62798
2.36401,2.60394
2.39112,2.57841
2.41372,2.54687
2.42879,2.51383
2.45001,2.47461
2.46795,2.42454
2.48163,2.35515
2.49423,2.28553
2.50269,2.20561
2.51466,2.12782
2.51767,2.09027
2.52068,2.05272
2.52369,2.01517
